dataset,seed,method,k,train,test
ImageNet,1,FAIR,50,0.8416935497089763,0.81818
ImageNet,1,FAIR,100,0.848182165166602,0.82556
ImageNet,1,FAIR,200,0.8502396643060585,0.82938
ImageNet,1,FAIR,300,0.8500375048686081,0.82874
ImageNet,1,FAIR,500,0.848081475717061,0.82538
ImageNet,1,FAIR,700,0.8457679599927254,0.82256
ImageNet,1,FAIR,900,0.8434083925046462,0.82082
ImageNet,1,FAIR,1000,0.8424865766914071,0.81972
ImageNet,1,MSDA,50,0.7449559659279391,0.71972
ImageNet,1,MSDA,100,0.8034104843474739,0.78092
ImageNet,1,MSDA,200,0.8264207554518653,0.80358
ImageNet,1,MSDA,300,0.833397207389825,0.81152
ImageNet,1,MSDA,500,0.8385518827756256,0.8174
ImageNet,1,MSDA,700,0.8409567214890799,0.82012
ImageNet,1,MSDA,900,0.8418301439234698,0.8203
ImageNet,1,MSDA,1000,0.8420674275875042,0.82002
ImageNet,1,Optimized,50,0.8501038506299335,0.8268
ImageNet,1,Optimized,100,0.8580497312216128,0.83612
ImageNet,1,Optimized,200,0.8599589280710477,0.83892
ImageNet,1,Optimized,300,0.859019940413701,0.83712
ImageNet,1,Optimized,500,0.8560890188398546,0.83474
ImageNet,1,Optimized,700,0.8527319233167885,0.83184
ImageNet,1,Optimized,900,0.8480713287182702,0.82616
ImageNet,1,Optimized,1000,0.8440437507366331,0.8219
ImageNet,2,Simple,50,0.8194474256673798,0.79482
ImageNet,2,Simple,100,0.8341153026888767,0.81058
ImageNet,2,Simple,200,0.8426083406768985,0.81958
ImageNet,2,Simple,300,0.8450209847740381,0.8219
ImageNet,2,Simple,500,0.8449218564012342,0.82234
ImageNet,2,Simple,700,0.8444925602985404,0.82212
ImageNet,2,Simple,900,0.8429751937101096,0.82
ImageNet,2,Simple,1000,0.8423413965548597,0.82012
ImageNet,2,FAIR,50,0.8415272950364785,0.81776
ImageNet,2,FAIR,100,0.8483195399194641,0.82634
ImageNet,2,FAIR,200,0.8503395732172309,0.8297
ImageNet,2,FAIR,300,0.8499477429562267,0.82882
ImageNet,2,FAIR,500,0.8480892811007464,0.826
ImageNet,2,FAIR,700,0.845768740531094,0.82312
ImageNet,2,FAIR,900,0.8434989349553962,0.82068
ImageNet,2,FAIR,1000,0.8425295063016766,0.81994
ImageNet,2,MSDA,50,0.7446554586560534,0.71952
ImageNet,2,MSDA,100,0.803629815629032,0.78046
ImageNet,2,MSDA,200,0.8266892606506412,0.80366
ImageNet,2,MSDA,300,0.8333066649390751,0.8116
ImageNet,2,MSDA,500,0.8386127647683713,0.81778
ImageNet,2,MSDA,700,0.8409629657960281,0.8204
ImageNet,2,MSDA,900,0.8418254606932586,0.82046
ImageNet,2,MSDA,1000,0.8420814772781379,0.8202
ImageNet,2,Optimized,50,0.8500960452462482,0.82622
ImageNet,2,Optimized,100,0.8582518906590632,0.83644
ImageNet,2,Optimized,200,0.8598933628480908,0.83866
ImageNet,2,Optimized,300,0.8589668638046406,0.8377
ImageNet,2,Optimized,500,0.8561600478313912,0.83538
ImageNet,2,Optimized,700,0.8527483146225278,0.83174
ImageNet,2,Optimized,900,0.8479589311932012,0.8266
ImageNet,2,Optimized,1000,0.8440273594308939,0.82194
ImageNet,3,Simple,50,0.8191797010069726,0.7946
ImageNet,3,Simple,100,0.8338936297922129,0.8111
ImageNet,3,Simple,200,0.842255537334321,0.8206
ImageNet,3,Simple,300,0.8444550944568506,0.82266
ImageNet,3,Simple,500,0.8449577611661868,0.82328
ImageNet,3,Simple,700,0.8441647341837559,0.82242
ImageNet,3,Simple,900,0.8428409411107217,0.8208
ImageNet,3,Simple,1000,0.8423851067034976,0.82006
ImageNet,3,FAIR,50,0.8420494752050279,0.81824
ImageNet,3,FAIR,100,0.848205581317658,0.82624
ImageNet,3,FAIR,200,0.850263860995483,0.82956
ImageNet,3,FAIR,300,0.8498899831169551,0.82928
ImageNet,3,FAIR,500,0.8480775730252185,0.8257
ImageNet,3,FAIR,700,0.8459708999685444,0.8231
ImageNet,3,FAIR,900,0.8434833241880254,0.82086
ImageNet,3,FAIR,1000,0.842541994915573,0.81982
ImageNet,3,MSDA,50,0.7449629907732559,0.7204
ImageNet,3,MSDA,100,0.8031013911535343,0.78016
ImageNet,3,MSDA,200,0.8267610701805463,0.80428
ImageNet,3,MSDA,300,0.8334424786152,0.81154
ImageNet,3,MSDA,500,0.8385924707707895,0.81746
ImageNet,3,MSDA,700,0.8409738933331876,0.8203
ImageNet,3,MSDA,900,0.8418644876116853,0.82038
ImageNet,3,MSDA,1000,0.8421720197288878,0.82032
ImageNet,3,Optimized,50,0.8502381032293214,0.82674
ImageNet,3,Optimized,100,0.8580302177623994,0.8361
ImageNet,3,Optimized,200,0.8597536464801232,0.8385
ImageNet,3,Optimized,300,0.8590503814100738,0.83784
ImageNet,3,Optimized,500,0.8561608283697597,0.83482
ImageNet,3,Optimized,700,0.8528201241524329,0.83162
ImageNet,3,Optimized,900,0.8479175626596689,0.82612
ImageNet,3,Optimized,1000,0.8440109681251546,0.82218
ImageNet,4,Simple,50,0.819509088198494,0.79458
ImageNet,4,Simple,100,0.8343369755855403,0.812
ImageNet,4,Simple,200,0.8426216098291636,0.82012
ImageNet,4,Simple,300,0.8447064278115187,0.82276
ImageNet,4,Simple,500,0.8449031234803893,0.82296
ImageNet,4,Simple,700,0.843918084059299,0.82146
ImageNet,4,Simple,900,0.8429252392545235,0.8209
ImageNet,4,Simple,1000,0.8422586594877951,0.81976
ImageNet,4,FAIR,50,0.8414749989657867,0.81774
ImageNet,4,FAIR,100,0.8481322107110159,0.82602
ImageNet,4,FAIR,200,0.8502841549930649,0.82922
ImageNet,4,FAIR,300,0.8500086249489723,0.82868
ImageNet,4,FAIR,500,0.848123624788962,0.8259
